relative_compactness;surface_area;wall_area;roof_area;overall_height;orientation;glazing_area;glazing_distribution;heating_load;cooling_load
0,71;710,5;269,5;220,5;3,5;4;0,0;0;2,1478476680443683;2,13020722903519
0,71;710,5;269,5;220,5;3,5;5;0,0;0;2,1549727930654465;2,1555808647312564
0,69;735,0;294,0;220,5;3,5;2;0,0;0;2,246390493323809;2,1601549489483656
0,69;735,0;294,0;220,5;3,5;3;0,0;0;2,234499446619283;2,1800543480281847
0,69;735,0;294,0;220,5;3,5;4;0,0;0;2,23051607653683;2,1595033628430595
0,69;735,0;294,0;220,5;3,5;5;0,0;0;2,238472937245493;2,1724194402518555
0,66;759,5;318,5;220,5;3,5;2;0,0;0;2,3102640283380915;2,2018501449189607
0,66;759,5;318,5;220,5;3,5;3;0,0;0;2,2950104568457537;2,1913500236974794
0,66;759,5;318,5;220,5;3,5;4;0,0;0;2,2950104568457537;2,2018501449189607
0,66;759,5;318,5;220,5;3,5;5;0,0;0;2,2950104568457537;2,185725402583741
0,64;784,0;343,0;220,5;3,5;2;0,0;0;2,8914451819041753;2,4280127150295163
0,64;784,0;343,0;220,5;3,5;3;0,0;0;2,8493996014172307;2,428888669471992
0,64;784,0;343,0;220,5;3,5;4;0,0;0;2,880692653215984;2,42669661010773
0,64;784,0;343,0;220,5;3,5;5;0,0;0;2,8521434686273217;2,423174177404365
0,62;808,5;367,5;220,5;3,5;2;0,0;0;2,559671303843014;2,1813186324868163
0,62;808,5;367,5;220,5;3,5;3;0,0;0;2,541645081645096;2,1907273363474795
0,62;808,5;367,5;220,5;3,5;4;0,0;0;2,535041253007151;2,181949903804791
0,62;808,5;367,5;220,5;3,5;5;0,0;0;2,543291939506014;2,1794213328545005
0,98;514,5;294,0;110,25;7,0;2;0,1;1;4,159951891544367;2,7550416683367382
0,98;514,5;294,0;110,25;7,0;3;0,1;1;4,16331119169014;2,7523924664524446
0,98;514,5;294,0;110,25;7,0;4;0,1;1;4,16331119169014;2,754248074747222
0,98;514,5;294,0;110,25;7,0;5;0,1;1;4,160624212157258;2,750265070766168
0,9;563,5;318,5;122,5;7,0;2;0,1;1;4,438602673164052;2,905841358488566
0,9;563,5;318,5;122,5;7,0;3;0,1;1;4,487105792724171;2,8390498351338445
0,9;563,5;318,5;122,5;7,0;4;0,1;1;4,445021073825283;2,832308449293945
0,9;563,5;318,5;122,5;7,0;5;0,1;1;4,382901875361593;2,934434758213114
0,86;588,0;294,0;147,0;7,0;2;0,1;1;4,271068283074026;2,862196989420381
0,86;588,0;294,0;147,0;7,0;3;0,1;1;4,310710612855443;2,7316128206898616
0,86;588,0;294,0;147,0;7,0;4;0,1;1;4,276780199089905;2,7696749785520596
0,86;588,0;294,0;147,0;7,0;5;0,1;1;4,205810220538463;2,880631734442165
0,82;612,5;318,5;147,0;7,0;2;0,1;1;4,088040320504987;2,776866079416671
0,82;612,5;318,5;147,0;7,0;3;0,1;1;4,122614205091693;2,712394525288433
0,82;612,5;318,5;147,0;7,0;4;0,1;1;4,088737841928565;2,703853791314743
0,82;612,5;318,5;147,0;7,0;5;0,1;1;4,020607155833452;2,806785309551463
0,79;637,0;343,0;147,0;7,0;2;0,1;1;4,788362946481053;3,0650144501863217
0,79;637,0;343,0;147,0;7,0;3;0,1;1;4,863815255192319;2,9529750128464203
0,79;637,0;343,0;147,0;7,0;4;0,1;1;4,853338403885363;2,9364129943735082
0,79;637,0;343,0;147,0;7,0;5;0,1;1;4,806995660547325;3,0908163209887007
0,76;661,5;416,5;122,5;7,0;2;0,1;1;4,656168908269707;2,92525181660602
0,76;661,5;416,5;122,5;7,0;3;0,1;1;4,611579296977954;2,9292612901545976
0,76;661,5;416,5;122,5;7,0;4;0,1;1;4,655118444212549;2,9306584429177716
0,76;661,5;416,5;122,5;7,0;5;0,1;1;4,616403464365477;2,9212160009855572
0,74;686,0;245,0;220,5;3,5;2;0,1;1;2,824505245474577;2,2622356278586233
0,74;686,0;245,0;220,5;3,5;3;0,1;1;2,8342293919699064;2,277765762407676
0,74;686,0;245,0;220,5;3,5;4;0,1;1;2,824505245474577;2,2650350518686277
0,74;686,0;245,0;220,5;3,5;5;0,1;1;2,828679498746739;2,277217193105885
0,71;710,5;269,5;220,5;3,5;2;0,1;1;2,872583979196853;2,282683007972425
0,71;710,5;269,5;220,5;3,5;3;0,1;1;2,884732717666216;2,3083214246326604
0,71;710,5;269,5;220,5;3,5;4;0,1;1;2,8712288120224496;2,286483008648266
0,71;710,5;269,5;220,5;3,5;5;0,1;1;2,877994002863461;2,3077970931770877
0,69;735,0;294,0;220,5;3,5;2;0,1;1;2,9259353295331327;2,3083214246326604
0,69;735,0;294,0;220,5;3,5;3;0,1;1;2,9285601349387163;2,325399550624583
0,69;735,0;294,0;220,5;3,5;4;0,1;1;2,923306537521032;2,3093688670435664
0,69;735,0;294,0;220,5;3,5;5;0,1;1;2,9324898970016005;2,3171732692730838
0,66;759,5;318,5;220,5;3,5;2;0,1;1;2,999229213141423;2,288105074760915
0,66;759,5;318,5;220,5;3,5;3;0,1;1;3,0004879095762065;2,278313888162545
0,66;759,5;318,5;220,5;3,5;4;0,1;1;3,001745698586775;2,287024129301556
0,66;759,5;318,5;220,5;3,5;5;0,1;1;3,0004879095762065;2,2744676694312074
0,64;784,0;343,0;220,5;3,5;2;0,1;1;3,41580718353655;2,5327507510450364
0,64;784,0;343,0;220,5;3,5;3;0,1;1;3,3947531838877394;2,5349895438207035
0,64;784,0;343,0;220,5;3,5;4;0,1;1;3,4168037079486764;2,5316284688890667
0,64;784,0;343,0;220,5;3,5;5;0,1;1;3,395761299083655;2,530879207707104
0,62;808,5;367,5;220,5;3,5;2;0,1;1;3,153420388904864;2,31145888663234
0,62;808,5;367,5;220,5;3,5;3;0,1;1;3,154573475425526;2,319754789185018
0,62;808,5;367,5;220,5;3,5;4;0,1;1;3,1499566230222404;2,3109369883970143
0,62;808,5;367,5;220,5;3,5;5;0,1;1;3,1603276901406545;2,3077970931770877
0,98;514,5;294,0;110,25;7,0;2;0,1;2;4,140353558503995;2,741142848573673
0,98;514,5;294,0;110,25;7,0;3;0,1;2;4,141711483116054;2,732435325880999
0,98;514,5;294,0;110,25;7,0;4;0,1;2;4,129456094586646;2,7459886593526277
0,98;514,5;294,0;110,25;7,0;5;0,1;2;4,13763487899278;2,739519289920297
0,9;563,5;318,5;122,5;7,0;2;0,1;2;4,4298171843583;2,8979025632196995
0,9;563,5;318,5;122,5;7,0;3;0,1;2;4,47623643665553;2,8290277052018142
0,9;563,5;318,5;122,5;7,0;4;0,1;2;4,426880138685296;2,827145216890783
0,9;563,5;318,5;122,5;7,0;5;0,1;2;4,371452708730912;2,931853476249888
0,86;588,0;294,0;147,0;7,0;2;0,1;2;4,283739152761863;2,862642343888265
0,86;588,0;294,0;147,0;7,0;3;0,1;2;4,317551891033606;2,732435325880999
0,86;588,0;294,0;147,0;7,0;4;0,1;2;4,274243602016997;2,7781415986791833
0,86;588,0;294,0;147,0;7,0;5;0,1;2;4,211713670277719;2,884296712797341
0,82;612,5;318,5;147,0;7,0;2;0,1;2;4,103328395079584;2,7786510827569946
0,82;612,5;318,5;147,0;7,0;3;0,1;2;4,136274121224962;2,7154975846072493
0,82;612,5;318,5;147,0;7,0;4;0,1;2;4,0977829626108395;2,7092762325936564
0,82;612,5;318,5;147,0;7,0;5;0,1;2;4,0357165672264355;2,8135656225248913
0,79;637,0;343,0;147,0;7,0;2;0,1;2;4,792791073701928;3,0551874781232486
0,79;637,0;343,0;147,0;7,0;3;0,1;2;4,870455118306422;2,9401541490372396
0,79;637,0;343,0;147,0;7,0;4;0,1;2;4,856677646472873;2,92525181660602
0,79;637,0;343,0;147,0;7,0;5;0,1;2;4,811384332574547;3,083579179140479
0,76;661,5;416,5;122,5;7,0;2;0,1;2;4,666644099013724;2,926055808193581
0,76;661,5;416,5;122,5;7,0;3;0,1;2;4,626550613291177;2,9292612901545976
0,76;661,5;416,5;122,5;7,0;4;0,1;2;4,664553330161194;2,9312562504662356
0,76;661,5;416,5;122,5;7,0;5;0,1;2;4,627083282797642;2,923438979070183
0,74;686,0;245,0;220,5;3,5;2;0,1;2;2,832843603158776;2,25998775401225
0,74;686,0;245,0;220,5;3,5;3;0,1;2;2,838380048162736;2,278313888162545
0,74;686,0;245,0;220,5;3,5;4;0,1;2;2,8189236935315707;2,2700451164829967
0,74;686,0;245,0;220,5;3,5;5;0,1;2;2,8369976124986858;2,282138406187062
0,71;710,5;269,5;220,5;3,5;2;0,1;2;2,8630753127355932;2,2755688170805084
0,71;710,5;269,5;220,5;3,5;3;0,1;2;2,8739380800379792;2,2993519382107084
0,71;710,5;269,5;220,5;3,5;4;0,1;2;2,8507720831870196;2,282683007972425
0,71;710,5;269,5;220,5;3,5;5;0,1;2;2,8685152713190383;2,304642522946161
0,69;735,0;294,0;220,5;3,5;2;0,1;2;2,9700254067552843;2,249207677203901
0,69;735,0;294,0;220,5;3,5;3;0,1;2;2,9713053764797115;2,2683791997208695
0,69;735,0;294,0;220,5;3,5;4;0,1;2;2,953299449631662;2,256035997663871
0,69;735,0;294,0;220,5;3,5;5;0,1;2;2,9751396440562408;2,266709184588386
0,66;759,5;318,5;220,5;3,5;2;0,1;2;2,9700254067552843;2,3380551599353385
0,66;759,5;318,5;220,5;3,5;3;0,1;2;2,9661798347654846;2,332516007450542
0,66;759,5;318,5;220,5;3,5;4;0,1;2;2,95459179522335;2,345039586502707
0,66;759,5;318,5;220,5;3,5;5;0,1;2;2,9674626374195205;2,332010177963437
0,64;784,0;343,0;220,5;3,5;2;0,1;2;3,41580718353655;2,52749685461673
0,64;784,0;343,0;220,5;3,5;3;0,1;2;3,3927352749069173;2,5316284688890667
0,64;784,0;343,0;220,5;3,5;4;0,1;2;3,4088162065871703;2,530879207707104
0,64;784,0;343,0;220,5;3,5;5;0,1;2;3,393744509388432;2,5301290858750187
0,62;808,5;367,5;220,5;3,5;2;0,1;2;3,14416859443847;2,313022163006804
0,62;808,5;367,5;220,5;3,5;3;0,1;2;3,158028243589581;2,3233523799622255
0,62;808,5;367,5;220,5;3,5;4;0,1;2;3,154573475425526;2,3077970931770877
0,62;808,5;367,5;220,5;3,5;5;0,1;2;3,16262416076809;2,306221650584439
0,98;514,5;294,0;110,25;7,0;2;0,1;3;4,139674242680621;2,73380379812868
0,98;514,5;294,0;110,25;7,0;3;0,1;3;4,147810513090716;2,7430317469612775
0,98;514,5;294,0;110,25;7,0;4;0,1;3;4,128089631552144;2,7381631337258803
0,98;514,5;294,0;110,25;7,0;5;0,1;3;4,144424509199605;2,7462567848171804
0,9;563,5;318,5;122,5;7,0;2;0,1;3;4,381699779822247;2,9306584429177716
0,9;563,5;318,5;122,5;7,0;3;0,1;3;4,437433489020269;2,904386609393603
0,9;563,5;318,5;122,5;7,0;4;0,1;3;4,4727918209759565;2,8438863756474597
0,9;563,5;318,5;122,5;7,0;5;0,1;3;4,4397711784166045;2,834408419076488
0,86;588,0;294,0;147,0;7,0;2;0,1;3;4,214985736512813;2,880631734442165
0,86;588,0;294,0;147,0;7,0;3;0,1;3;4,2831075287315254;2,8648643331824264
0,86;588,0;294,0;147,0;7,0;4;0,1;3;4,309464211935784;2,739790172615875
0,86;588,0;294,0;147,0;7,0;5;0,1;3;4,282475703498271;2,7791601542887534
0,82;612,5;318,5;147,0;7,0;2;0,1;3;4,045724428013129;2,810910685677159
0,82;612,5;318,5;147,0;7,0;3;0,1;3;4,109548214466431;2,7827121568653284
0,82;612,5;318,5;147,0;7,0;4;0,1;3;4,132186158589869;2,7247167617976995
0,82;612,5;318,5;147,0;7,0;5;0,1;3;4,111617088708155;2,712959846798531
0,79;637,0;343,0;147,0;7,0;2;0,1;3;4,799170648049887;3,0875935175386564
0,79;637,0;343,0;147,0;7,0;3;0,1;3;4,784418894245022;3,0576188829054094
0,79;637,0;343,0;147,0;7,0;4;0,1;3;4,856677646472873;2,949504961462194
0,79;637,0;343,0;147,0;7,0;5;0,1;3;4,8437681961022605;2,933641673754621
0,76;661,5;416,5;122,5;7,0;2;0,1;3;4,6329335208610685;2,9248494258524835
0,76;661,5;416,5;122,5;7,0;3;0,1;3;4,6729036734739005;2,9300600525258287
0,76;661,5;416,5;122,5;7,0;4;0,1;3;4,622818040929004;2,9373997244343677
0,76;661,5;416,5;122,5;7,0;5;0,1;3;4,670819265961497;2,9377939722401
0,74;686,0;245,0;220,5;3,5;2;0,1;3;2,828679498746739;2,2717069539597667
0,74;686,0;245,0;220,5;3,5;3;0,1;3;2,8217167449416487;2,2582969560932367
0,74;686,0;245,0;220,5;3,5;4;0,1;3;2,823111563054483;2,2744676694312074
0,74;686,0;245,0;220,5;3,5;5;0,1;3;2,8272892113093984;2,2655935548099393
0,71;710,5;269,5;220,5;3,5;2;0,1;3;2,880692653215984;2,3009434685810883
0,71;710,5;269,5;220,5;3,5;3;0,1;3;2,8685152713190383;2,281047887532519
0,71;710,5;269,5;220,5;3,5;4;0,1;3;2,8685152713190383;2,3093688670435664
0,71;710,5;269,5;220,5;3,5;5;0,1;3;2,8712288120224496;2,286483008648266
0,69;735,0;294,0;220,5;3,5;2;0,1;3;2,9403227771789684;2,3166557766011735
0,69;735,0;294,0;220,5;3,5;3;0,1;3;2,9324898970016005;2,3077970931770877
0,69;735,0;294,0;220,5;3,5;4;0,1;3;2,9246214326801105;2,3284586811328802
0,69;735,0;294,0;220,5;3,5;5;0,1;3;2,9298710467895708;2,3145818242905567
0,66;759,5;318,5;220,5;3,5;2;0,1;3;2,9878598736351925;2,263916666290239
0,66;759,5;318,5;220,5;3,5;3;0,1;3;2,989126801767298;2,277217193105885
0,66;759,5;318,5;220,5;3,5;4;0,1;3;2,9802388933009345;2,2711534602154115
0,66;759,5;318,5;220,5;3,5;5;0,1;3;2,9903928094569316;2,2843141911881064
0,64;784,0;343,0;220,5;3,5;2;0,1;3;3,3907151232756467;2,524096900691755
0,64;784,0;343,0;220,5;3,5;3;0,1;3;3,41081636835407;2,5256101754112423
0,64;784,0;343,0;220,5;3,5;4;0,1;3;3,3866680702172522;2,5327507510450364
0,64;784,0;343,0;220,5;3,5;5;0,1;3;3,41081636835407;2,529753701627291
0,62;808,5;367,5;220,5;3,5;2;0,1;3;3,120825367957236;2,298288831774527
0,62;808,5;367,5;220,5;3,5;3;0,1;3;3,114941089251184;2,3056956849635064
0,62;808,5;367,5;220,5;3,5;4;0,1;3;3,1243465521000036;2,3009434685810883
0,62;808,5;367,5;220,5;3,5;5;0,1;3;3,1266901174704733;2,2875648177871333
0,98;514,5;294,0;110,25;7,0;2;0,1;4;4,146456814120811;2,74006093935107
0,98;514,5;294,0;110,25;7,0;3;0,1;4;4,136274121224962;2,7348964501633324
0,98;514,5;294,0;110,25;7,0;4;0,1;4;4,123299473078137;2,7473281503273714
0,98;514,5;294,0;110,25;7,0;5;0,1;4;4,142390092262066;2,738977176269959
0,9;563,5;318,5;122,5;7,0;2;0,1;4;4,4403551767278575;2,8266737059398337
0,9;563,5;318,5;122,5;7,0;3;0,1;4;4,380496961983167;2,926055808193581
0,9;563,5;318,5;122,5;7,0;4;0,1;4;4,428642880908719;2,903970335304458
0,9;563,5;318,5;122,5;7,0;5;0,1;4;4,482536346633772;2,840204805105167
0,86;588,0;294,0;147,0;7,0;2;0,1;4;4,281211448862183;2,7732808019702033
0,86;588,0;294,0;147,0;7,0;3;0,1;4;4,212368518358315;2,8812800753376124
0,86;588,0;294,0;147,0;7,0;4;0,1;4;4,274243602016997;2,8659723499386383
0,86;588,0;294,0;147,0;7,0;5;0,1;4;4,318172660446578;2,737348042420373
0,82;612,5;318,5;147,0;7,0;2;0,1;4;4,106786298535477;2,703853791314743
0,82;612,5;318,5;147,0;7,0;3;0,1;4;4,036433130801749;2,809215294105197
0,82;612,5;318,5;147,0;7,0;4;0,1;4;4,092221706458047;2,783470695089399
0,82;612,5;318,5;147,0;7,0;5;0,1;4;4,136954618426271;2,7194251231924693
0,79;637,0;343,0;147,0;7,0;2;0,1;4;4,851427866777871;2,932847562665687
0,79;637,0;343,0;147,0;7,0;3;0,1;4;4,804553504418553;3,0903569822780357
0,79;637,0;343,0;147,0;7,0;4;0,1;4;4,782937941574071;3,067883762582373
0,79;637,0;343,0;147,0;7,0;5;0,1;4;4,86286498053073;2,9531672174785406
0,76;661,5;416,5;122,5;7,0;2;0,1;4;4,6624604314178395;2,9300600525258287
0,76;661,5;416,5;122,5;7,0;3;0,1;4;4,625484858335683;2,9202028924667065
0,76;661,5;416,5;122,5;7,0;4;0,1;4;4,662983856040382;2,925653943943805
0,76;661,5;416,5;122,5;7,0;5;0,1;4;4,621750340296656;2,9288615188820613
0,74;686,0;245,0;220,5;3,5;2;0,1;4;2,7850460952073095;2,249207677203901
0,74;686,0;245,0;220,5;3,5;3;0,1;4;2,7949966919231857;2,2582969560932367
0,74;686,0;245,0;220,5;3,5;4;0,1;4;2,7836198291805663;2,249779328292919
0,74;686,0;245,0;220,5;3,5;5;0,1;4;2,793578727130995;2,267822984330784
0,71;710,5;269,5;220,5;3,5;2;0,1;4;2,865797443169197;2,2755688170805084
0,71;710,5;269,5;220,5;3,5;3;0,1;4;2,8685152713190383;2,2998828649487653
0,71;710,5;269,5;220,5;3,5;4;0,1;4;2,848026021400104;2,282138406187062
0,71;710,5;269,5;220,5;3,5;5;0,1;4;2,8739380800379792;2,3041153253316318
0,69;735,0;294,0;220,5;3,5;2;0,1;4;2,9351047934641974;2,308845349054659
0,69;735,0;294,0;220,5;3,5;3;0,1;4;2,9403227771789684;2,3192392757391906
0,69;735,0;294,0;220,5;3,5;4;0,1;4;2,920673745641522;2,315619597934932
0,69;735,0;294,0;220,5;3,5;5;0,1;4;2,937715749203351;2,3315039677690437
0,66;759,5;318,5;220,5;3,5;2;0,1;4;2,9687444942417067;2,3380551599353385
0,66;759,5;318,5;220,5;3,5;3;0,1;4;2,9661798347654846;2,3284586811328802
0,66;759,5;318,5;220,5;3,5;4;0,1;4;2,95459179522335;2,345039586502707
0,66;759,5;318,5;220,5;3,5;5;0,1;4;2,9674626374195205;2,336549002941474
0,64;784,0;343,0;220,5;3,5;2;0,1;4;3,414810113787955;2,527873537627616
0,64;784,0;343,0;220,5;3,5;3;0,1;4;3,393744509388432;2,5282500035849296
0,64;784,0;343,0;220,5;3,5;4;0,1;4;3,406813845092043;2,5346169445446227
0,64;784,0;343,0;220,5;3,5;5;0,1;4;3,3907151232756467;2,5368493557840726
0,62;808,5;367,5;220,5;3,5;2;0,1;4;3,1406866784976772;2,313022163006804
0,62;808,5;367,5;220,5;3,5;3;0,1;4;3,16262416076809;2,31145888663234
0,62;808,5;367,5;220,5;3,5;4;0,1;4;3,158028243589581;2,3083214246326604
0,62;808,5;367,5;220,5;3,5;5;0,1;4;3,158028243589581;2,3182070641947115
0,98;514,5;294,0;110,25;7,0;2;0,1;5;4,144424509199605;2,732709257044391
0,98;514,5;294,0;110,25;7,0;3;0,1;5;4,143068466205936;2,741953067519328
0,98;514,5;294,0;110,25;7,0;4;0,1;5;4,122614205091693;2,739248291169856
0,98;514,5;294,0;110,25;7,0;5;0,1;5;4,138314903104306;2,7473281503273714
0,9;563,5;318,5;122,5;7,0;2;0,1;5;4,484822361108864;2,83789271916089
0,9;563,5;318,5;122,5;7,0;3;0,1;5;4,441522665257768;2,830904529135404
0,9;563,5;318,5;122,5;7,0;4;0,1;5;4,379293420894869;2,936807876971478
0,9;563,5;318,5;122,5;7,0;5;0,1;5;4,438018166007455;2,9077067176419114
0,86;588,0;294,0;147,0;7,0;2;0,1;5;4,318172660446578;2,737619856209864
0,86;588,0;294,0;147,0;7,0;3;0,1;5;4,2818436769219295;2,77737659764641
0,86;588,0;294,0;147,0;7,0;4;0,1;5;4,211713670277719;2,8872987039777707
0,86;588,0;294,0;147,0;7,0;5;0,1;5;4,2818436769219295;2,870824235290756
0,82;612,5;318,5;147,0;7,0;2;0,1;5;4,145779613519694;2,7180252192248653
0,82;612,5;318,5;147,0;7,0;3;0,1;5;4,112995120692432;2,708423126587607
0,82;612,5;318,5;147,0;7,0;4;0,1;5;4,042870307609688;2,815729489920882
0,82;612,5;318,5;147,0;7,0;5;0,1;5;4,110927707651032;2,7864957210128227
0,79;637,0;343,0;147,0;7,0;2;0,1;5;4,859535614546694;2,9473746455599232
0,79;637,0;343,0;147,0;7,0;3;0,1;5;4,844247749484168;2,931455390314804
0,79;637,0;343,0;147,0;7,0;4;0,1;5;4,8471227592048995;3,087901200327643
0,79;637,0;343,0;147,0;7,0;5;0,1;5;4,784418894245022;3,0582656005939537
0,76;661,5;416,5;122,5;7,0;2;0,1;5;4,621750340296656;2,932847562665687
0,76;661,5;416,5;122,5;7,0;3;0,1;5;4,669254572129068;2,934830916244149
0,76;661,5;416,5;122,5;7,0;4;0,1;5;4,629744553767875;2,920608336253703
0,76;661,5;416,5;122,5;7,0;5;0,1;5;4,672382769690045;2,925452913181384
0,74;686,0;245,0;220,5;3,5;2;0,1;5;2,8397613700485596;2,2744676694312074
0,74;686,0;245,0;220,5;3,5;3;0,1;5;2,825897794221527;2,262796436309336
0,74;686,0;245,0;220,5;3,5;4;0,1;5;2,8217167449416487;2,278313888162545
0,74;686,0;245,0;220,5;3,5;5;0,1;5;2,828679498746739;2,2661515988109713
0,71;710,5;269,5;220,5;3,5;2;0,1;5;2,882040394372795;2,303059693835557
0,71;710,5;269,5;220,5;3,5;3;0,1;5;2,8712288120224496;2,279955610953158
0,71;710,5;269,5;220,5;3,5;4;0,1;5;2,867156894100402;2,3072723540861486
0,71;710,5;269,5;220,5;3,5;5;0,1;5;3,2356903263457486;2,2875648177871333
0,69;735,0;294,0;220,5;3,5;2;0,1;5;2,939019753354177;2,32232645606712
0,69;735,0;294,0;220,5;3,5;3;0,1;5;2,9298710467895708;2,3083214246326604
0,69;735,0;294,0;220,5;3,5;4;0,1;5;2,9259353295331327;2,317690364944664
0,69;735,0;294,0;220,5;3,5;5;0,1;5;2,9324898970016005;2,3140623378912633
0,66;759,5;318,5;220,5;3,5;2;0,1;5;2,9610391352330057;2,321812907501029
0,66;759,5;318,5;220,5;3,5;3;0,1;5;2,9558831795400136;2,3355430199116887
0,66;759,5;318,5;220,5;3,5;4;0,1;5;2,9403227771789684;2,3274405150746413
0,66;759,5;318,5;220,5;3,5;5;0,1;5;2,9558831795400136;2,338556463052148
0,64;784,0;343,0;220,5;3,5;2;0,1;5;3,3907151232756467;2,527873537627616
0,64;784,0;343,0;220,5;3,5;3;0,1;5;3,4118156259889685;2,5256101754112423
0,64;784,0;343,0;220,5;3,5;4;0,1;5;3,3866680702172522;2,5286262527263994
0,64;784,0;343,0;220,5;3,5;5;0,1;5;3,41081636835407;2,529753701627291
0,62;808,5;367,5;220,5;3,5;2;0,1;5;3,1102195094063254;2,306221650584439
0,62;808,5;367,5;220,5;3,5;3;0,1;5;3,1278607363180244;2,291874846037106
0,62;808,5;367,5;220,5;3,5;4;0,1;5;3,1348682261763763;2,29294807699766
0,62;808,5;367,5;220,5;3,5;5;0,1;5;3,113761877474781;2,3014731467177554
0,98;514,5;294,0;110,25;7,0;2;0,25;1;4,386503837647218;2,837197416338173
0,98;514,5;294,0;110,25;7,0;3;0,25;1;4,386503837647218;2,837197416338173
0,98;514,5;294,0;110,25;7,0;4;0,25;1;4,399655898607923;2,8252570316025354
0,98;514,5;294,0;110,25;7,0;5;0,25;1;4,402037938615396;2,830201381896677
0,9;563,5;318,5;122,5;7,0;2;0,25;1;4,6414132470246345;2,9689130594984774
0,9;563,5;318,5;122,5;7,0;3;0,25;1;4,683294138322048;2,911009027376153
0,9;563,5;318,5;122,5;7,0;4;0,25;1;4,649858044150168;2,901466770285158
0,9;563,5;318,5;122,5;7,0;5;0,25;1;4,605129315595564;2,995660480765133
0,86;588,0;294,0;147,0;7,0;2;0,25;1;4,468189837766574;2,9274602659673783
0,86;588,0;294,0;147,0;7,0;3;0,25;1;4,497349442364406;2,809215294105197
0,86;588,0;294,0;147,0;7,0;4;0,25;1;4,471642308478741;2,844803375513851
0,86;588,0;294,0;147,0;7,0;5;0,25;1;4,416861955668421;2,942309688288885
0,82;612,5;318,5;147,0;7,0;2;0,25;1;4,306344786930693;2,8459477280419714
0,82;612,5;318,5;147,0;7,0;3;0,25;1;4,333013351852261;2,790256623592729
0,82;612,5;318,5;147,0;7,0;4;0,25;1;4,314445135531434;2,775332033484824
0,82;612,5;318,5;147,0;7,0;5;0,25;1;4,265339851712746;2,8732360069438636
0,79;637,0;343,0;147,0;7,0;2;0,25;1;4,936181100011612;3,0979669259912863
0,79;637,0;343,0;147,0;7,0;3;0,25;1;4,99768922444653;2,9997688814473267
0,79;637,0;343,0;147,0;7,0;4;0,25;1;4,990097951808508;2,98243368139232
0,79;637,0;343,0;147,0;7,0;5;0,25;1;4,953093267638934;3,123427922344663
0,76;661,5;416,5;122,5;7,0;2;0,25;1;4,856200938339928;2,98243368139232
